### PARAMETERS OF THE TIME EVOLUTION ### 
Total time tau = 6
Timestep dt = 1
P = tau/dt = 6
Number of Fourier coefficients Nc = 6

gamma(t) = t/T*(delta_t + \sum_i^Nc gamma_i*f_i(wi, t) 
beta(t) = (1-t/T)*(delta_t + \sum_i^Nc beta_i*f_i(wi, t)

CRAB coefficient   Cz_start// Cx_start// Cxz_start // pulses//  Cz_opt // Cx_opt // Cxz_opt  
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.237315809850895398e+00 -1.278181616041173529e-01 4.575033365365139826e-01 -1.681712867474677645e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.504282458059163829e+00 6.312332740824618815e-01 1.007780523988341115e-01 -2.756740256010712341e-03
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.699337639176390358e+00 8.910969314988816947e-01 2.590696273315634679e-01 -3.746831761859507892e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.174629725476277642e+00 -3.065389015322138588e-01 9.247449265070414315e-01 -3.431716642278512808e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.074008983308278431e+01 2.487535021553638759e-01 4.553444043236222205e-01 4.420286809809983453e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.458682063616882463e+00 1.496938085839597532e+00 -9.351159168069551608e-01 -1.161374575887632377e+00

Amplitudes vs time: t // theta_tt_old // theta_mt_old // alpha_cdt_old// theta_tt_opt // theta_mt_opt// alpha_cdt_opt  
0.000000000000000000e+00 8.333333333333332871e-02 9.166666666666666297e-01 0.000000000000000000e+00 4.031646890420034213e-01 9.870429663197182180e-01 2.095856240031617190e-01
1.000000000000000000e+00 2.500000000000000000e-01 7.500000000000000000e-01 0.000000000000000000e+00 5.403598326903036320e-01 5.087743776233482063e-01 1.762422119122774022e-01
2.000000000000000000e+00 4.166666666666666852e-01 5.833333333333332593e-01 0.000000000000000000e+00 7.629215740168564519e-01 4.662139609612463431e-01 1.348072014574093203e-01
3.000000000000000000e+00 5.833333333333333703e-01 4.166666666666666297e-01 0.000000000000000000e+00 9.340993158431109000e-01 3.764892208599144863e-01 9.268546257430543278e-02
4.000000000000000000e+00 7.500000000000000000e-01 2.500000000000000000e-01 0.000000000000000000e+00 1.081346637151055390e+00 4.036634559129306243e-01 9.155766794020525623e-02
5.000000000000000000e+00 9.166666666666666297e-01 8.333333333333337034e-02 0.000000000000000000e+00 6.602677015944098393e-01 5.246511100605849576e-02 8.994577841068340796e-02

Residual energy after optimization is 0.01774201015149046 C0x=1.470287289485358 C0z=2.500685488157297 C0xz=1.0
Optimization procedure took 3.349973440170288 seconds
