### PARAMETERS OF THE TIME EVOLUTION ### 
Total time tau = 60
Timestep dt = 1
P = tau/dt = 60
Number of Fourier coefficients Nc = 60

gamma(t) = t/T*(delta_t + \sum_i^Nc gamma_i*f_i(wi, t) 
beta(t) = (1-t/T)*(delta_t + \sum_i^Nc beta_i*f_i(wi, t)

CRAB coefficient   Cz_start// Cx_start// Cxz_start // pulses//  Cz_opt // Cx_opt // Cxz_opt  
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.155491703863347652e+00 1.067680165745568416e-03 2.056619136113260402e-02 2.562317252189075766e-03
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.447378689693218590e+00 3.541778007781826859e-02 -6.283349273306423899e-02 -1.351498427208641315e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.557643245833986168e+00 4.211832891845450344e-02 -6.066442583055735999e-02 7.570464007393506002e-04
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.440408455606441152e+00 6.271185778555739276e-03 -1.016809286005264552e-02 -7.952854296710606258e-03
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.377316612002317164e+01 -1.308181865737413629e-02 1.882657987936845606e-02 5.513481847867326459e-03
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.300711394505530638e+00 -4.280867689592898762e-02 -2.218348772010224346e-02 -2.357270709646967777e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.367871446214466147e+01 2.915276113102039775e-05 3.471869598296265652e-05 -2.757509183873826109e-06
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.368248547067442367e+00 3.571712994872694100e-03 -1.116848163614922451e-02 2.989908074218995855e-03
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.634839537703631329e+00 3.914600449446737490e-02 -3.904424263452327404e-02 2.868563001263468252e-03
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.970200162944818922e+00 -3.064001377423534317e-02 2.200142100296265460e-02 -5.160537056074713212e-03
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.858389996539564493e+00 -2.682140974228513011e-02 3.547808811677571894e-02 -3.169751881052504990e-03
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.139539352601345534e+00 -7.646069956830398896e-03 -1.405891713216036489e-02 8.686552251494157910e-04
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.519608650077009848e+00 -8.080154244220883950e-03 5.996445518894914437e-03 -2.210795937739570231e-03
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.959183698895876624e+00 2.519467688552417747e-02 -5.540500630380002650e-02 -2.643598086199135978e-03
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.407782643277897705e+00 3.232624554468858935e-02 -4.591707704122420519e-02 1.557366650580334962e-03
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.196378645815925790e+00 5.257719922784780987e-03 -1.365033107176302080e-02 1.600860908006744728e-04
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.753505236856107263e+00 4.085005521695809355e-02 -6.571810492446648888e-02 -1.242997957916698679e-03
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.344128327205440954e+00 -1.531552156063156582e-02 -2.048128035648737189e-02 5.003816437301423711e-04
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.315944275726160129e+00 -5.053774146888124520e-03 -1.880842598774900079e-03 6.676042665531400043e-03
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.848345431462854904e-01 1.408257729578446353e-02 -1.145289976185493719e-01 -2.054860976864751956e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.338458341291055120e+01 2.294683445659234655e-02 -1.514413638339133332e-02 -4.144199821762621812e-03
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.521307943985826139e+00 4.059471880234467173e-02 -5.791302707254573218e-02 1.048412608315924194e-03
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.317817441941290468e+00 9.283480000988476866e-03 3.063142649567672862e-02 -1.197337351642519671e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.551133051560563247e+00 -6.384920498411018885e-02 2.867873811598528611e-02 -1.923866687561369068e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.205749520245289474e+01 -3.581159035949120495e-02 1.011156266047775615e-01 2.161102542687515227e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.022932755375264513e+00 -1.492285827697854318e-02 -1.204902204883667206e-02 3.641057226911706066e-03
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.076061341420100170e+01 1.779195219584974244e-03 5.624874236622535995e-02 -3.108138175784112833e-03
