### PARAMETERS OF THE TIME EVOLUTION ### 
Total time tau = 27
Timestep dt = 1
P = tau/dt = 27
Number of Fourier coefficients Nc = 27

gamma(t) = t/T*(delta_t + \sum_i^Nc gamma_i*f_i(wi, t) 
beta(t) = (1-t/T)*(delta_t + \sum_i^Nc beta_i*f_i(wi, t)

CRAB coefficient   Cz_start// pulses//  Cz_opt  
0.000000000000000000e+00 7.142595663642642201e+00 -1.866884700641421091e+01
0.000000000000000000e+00 2.992304760547437770e+00 3.231168984822514290e+01
0.000000000000000000e+00 2.587700549880743495e+00 1.295968717497195755e+01
0.000000000000000000e+00 6.119874310665503359e+00 3.315670532993942743e+01
0.000000000000000000e+00 2.155187636671921148e+00 -4.617356847632673578e+01
0.000000000000000000e+00 9.799828392501883201e+00 -3.999465253312436630e+01
0.000000000000000000e+00 4.024361378199794892e+00 1.172820975772125074e+00
0.000000000000000000e+00 9.132613661161695262e+00 -9.518640598805880870e+00
0.000000000000000000e+00 2.492194136985567798e+00 -4.231708247322838901e+00
0.000000000000000000e+00 1.325710405612638176e+01 -2.746090143502911118e+01
0.000000000000000000e+00 1.135947678663138172e+00 6.663396973878879237e+01
0.000000000000000000e+00 6.630980273054560392e+00 2.870727662526229551e+01
0.000000000000000000e+00 2.610090987038474974e+00 1.670848165864777712e+01
0.000000000000000000e+00 9.723903307621911907e+00 4.667430810932691543e+01
0.000000000000000000e+00 1.129475190865022682e+01 4.371740082351216472e-01
0.000000000000000000e+00 1.824310193088450216e+00 -1.034581722215622079e+01
0.000000000000000000e+00 5.975487477403095049e+00 -4.212777960817835776e+01
0.000000000000000000e+00 7.833407637414603997e+00 7.745401105455800739e+00
0.000000000000000000e+00 3.227911511419614854e+00 -1.095240825133101303e+01
0.000000000000000000e+00 1.373196939508990511e+01 3.589377355356889510e+00
0.000000000000000000e+00 3.832476717677978151e+00 -5.477951106402030490e+01
0.000000000000000000e+00 1.363251767020525129e+01 -6.539513134105442660e+00
0.000000000000000000e+00 7.265901313862008770e+00 2.505454728589125324e+01
0.000000000000000000e+00 1.328573431752418799e+01 3.030187405354688224e+01
0.000000000000000000e+00 4.142700969160391544e+00 4.233962698144757297e+01
0.000000000000000000e+00 5.240042851258638334e-01 -6.575084876506875275e+01
0.000000000000000000e+00 7.070093696258837213e+00 -3.538600515791600287e+01

Amplitudes vs time: t // theta_tt_old // theta_mt_old // alpha_cdt_old//theta_ttdot_old // theta_tt_opt // theta_mt_opt// alpha_cdt_opt// theta_ttdot_opt //  
0.000000000000000000e+00 1.851851851851851749e-02 9.814814814814815103e-01 0.000000000000000000e+00 3.703703703703703498e-02 6.938110803930988557e-02 9.814814814814815103e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 5.555555555555555247e-02 9.444444444444444198e-01 0.000000000000000000e+00 3.703703703703703498e-02 1.873564945052308417e-01 9.444444444444444198e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 9.259259259259258745e-02 9.074074074074074403e-01 0.000000000000000000e+00 3.703703703703703498e-02 3.369934093654303187e-01 9.074074074074074403e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.000000000000000000e+00 1.296296296296296224e-01 8.703703703703703498e-01 0.000000000000000000e+00 3.703703703703703498e-02 4.150543928732504106e-01 8.703703703703703498e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.000000000000000000e+00 1.666666666666666574e-01 8.333333333333333703e-01 0.000000000000000000e+00 3.703703703703703498e-02 4.479886867797517880e-01 8.333333333333333703e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e+00 2.037037037037036924e-01 7.962962962962962798e-01 0.000000000000000000e+00 3.703703703703703498e-02 4.699797381360910631e-01 7.962962962962962798e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.000000000000000000e+00 2.407407407407407274e-01 7.592592592592593004e-01 0.000000000000000000e+00 3.703703703703703498e-02 4.833981194506781209e-01 7.592592592592593004e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.000000000000000000e+00 2.777777777777777901e-01 7.222222222222222099e-01 0.000000000000000000e+00 3.703703703703703498e-02 4.928083792861517876e-01 7.222222222222222099e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.000000000000000000e+00 3.148148148148148251e-01 6.851851851851851194e-01 0.000000000000000000e+00 3.703703703703703498e-02 5.008844529620162245e-01 6.851851851851851194e-01 0.000000000000000000e+00 0.000000000000000000e+00
9.000000000000000000e+00 3.518518518518518601e-01 6.481481481481481399e-01 0.000000000000000000e+00 3.703703703703703498e-02 5.066950452927441173e-01 6.481481481481481399e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+01 3.888888888888888951e-01 6.111111111111111605e-01 0.000000000000000000e+00 3.703703703703703498e-02 5.120273874584732043e-01 6.111111111111111605e-01 0.000000000000000000e+00 0.000000000000000000e+00
