# p_over_P_Cubic  fidelity_Cubic  p_over_P_DCQO  fidelity_DCQO  p_over_P_DCQO_noCD  fidelity_DCQO_noCD  p_over_P_QAOA_dCRAB  fidelity_QAOA_dCRAB  p_over_P_DC_QAOA_dCRAB  fidelity_DC_QAOA_dCRAB
1.8518518518518517e-02 9.9999979426036012e-01 1.8518518518518517e-02 9.8204619074707777e-01 1.2345679012345678e-02 9.9965835045896123e-01 1.2345679012345678e-02 9.8523531543478349e-01 1.8518518518518517e-02 9.7911993165785238e-01
3.7037037037037035e-02 9.9997155190404363e-01 3.7037037037037035e-02 9.2586364728030424e-01 2.4691358024691357e-02 9.9550191246826658e-01 2.4691358024691357e-02 9.3943369707559854e-01 3.7037037037037035e-02 9.1874717109491222e-01
5.5555555555555552e-02 9.9980354399389249e-01 5.5555555555555552e-02 8.2747505028290314e-01 3.7037037037037035e-02 9.8067232021613471e-01 3.7037037037037035e-02 8.7318455967963793e-01 5.5555555555555552e-02 8.2748728039483233e-01
7.4074074074074070e-02 9.9938686069260452e-01 7.4074074074074070e-02 7.3833845833554512e-01 4.9382716049382713e-02 9.5091525960705847e-01 4.9382716049382713e-02 7.9704135355206773e-01 7.4074074074074070e-02 7.1699842485243725e-01
9.2592592592592587e-02 9.9839547390717043e-01 9.2592592592592587e-02 6.8848644783566271e-01 6.1728395061728392e-02 9.1190809592280364e-01 6.1728395061728392e-02 7.1841699598608233e-01 9.2592592592592587e-02 6.0483256100338567e-01
1.1111111111111110e-01 9.9672164117157303e-01 1.1111111111111110e-01 6.6008238946445830e-01 7.4074074074074070e-02 8.7074789243181616e-01 7.4074074074074070e-02 6.4328891875009031e-01 1.1111111111111110e-01 5.1001595351983675e-01
1.2962962962962962e-01 9.9412421548410745e-01 1.2962962962962962e-01 6.4513262452842945e-01 8.6419753086419748e-02 8.3089959404648428e-01 8.6419753086419748e-02 5.7730040746799693e-01 1.2962962962962962e-01 4.4184062040441541e-01
1.4814814814814814e-01 9.9011091202850798e-01 1.4814814814814814e-01 6.4283255176385379e-01 9.8765432098765427e-02 7.9580855852155796e-01 9.8765432098765427e-02 5.2344190842995786e-01 1.4814814814814814e-01 3.9794177980483303e-01
1.6666666666666666e-01 9.8497340646919807e-01 1.6666666666666666e-01 6.5256820204732846e-01 1.1111111111111110e-01 7.6644744018377786e-01 1.1111111111111110e-01 4.8312976404352820e-01 1.6666666666666666e-01 3.7180048894834911e-01
1.8518518518518517e-01 9.7791446722672493e-01 1.8518518518518517e-01 6.6722103924122356e-01 1.2345679012345678e-01 7.4293672591847915e-01 1.2345679012345678e-01 4.5638526504343957e-01 1.8518518518518517e-01 3.5730842350364395e-01
2.0370370370370369e-01 9.6924529293980488e-01 2.0370370370370369e-01 6.7524533098901063e-01 1.3580246913580246e-01 7.2248526796384782e-01 1.3580246913580246e-01 4.4175425310036748e-01 2.0370370370370369e-01 3.4822330115790001e-01
2.2222222222222221e-01 9.5868414366599819e-01 2.2222222222222221e-01 6.6611624561912253e-01 1.4814814814814814e-01 7.0372264219188163e-01 1.4814814814814814e-01 4.3727504282686003e-01 2.2222222222222221e-01 3.3971598180239521e-01
2.4074074074074073e-01 9.4599243991236615e-01 2.4074074074074073e-01 6.3961241022776028e-01 1.6049382716049382e-01 6.8658243633457050e-01 1.6049382716049382e-01 4.3953102361597046e-01 2.4074074074074073e-01 3.3066032683858121e-01
2.5925925925925924e-01 9.3146618950284643e-01 2.5925925925925924e-01 6.0908646499650132e-01 1.7283950617283950e-01 6.7085848745621601e-01 1.7283950617283950e-01 4.4516587636788890e-01 2.5925925925925924e-01 3.2145313137972725e-01
2.7777777777777779e-01 9.1479210441484859e-01 2.7777777777777779e-01 5.8419004662836327e-01 1.8518518518518517e-01 6.5542798408015224e-01 1.8518518518518517e-01 4.4742765295615861e-01 2.7777777777777779e-01 3.1251185504519757e-01
