### PARAMETERS OF THE TIME EVOLUTION ### 
Total time tau = 90
Timestep dt = 1
P = tau/dt = 90
Number of Fourier coefficients Nc = 90

gamma(t) = t/T*(delta_t + \sum_i^Nc gamma_i*f_i(wi, t) 
beta(t) = (1-t/T)*(delta_t + \sum_i^Nc beta_i*f_i(wi, t)

CRAB coefficient   Cz_start// pulses//  Cz_opt  
0.000000000000000000e+00 8.776248472539188938e+00 1.184977235094334169e+01
0.000000000000000000e+00 9.847821422449834827e+00 -4.724393968848097813e+00
0.000000000000000000e+00 5.757280967295494989e+00 -2.253520963235700947e+01
0.000000000000000000e+00 8.692046421350344332e+00 1.659732485890611997e+01
0.000000000000000000e+00 1.021568057067838176e+01 2.390621670183794834e+01
0.000000000000000000e+00 3.156778273146132463e+00 6.898657319703826118e+00
0.000000000000000000e+00 1.033537407319218993e+01 2.210051195800584622e+01
0.000000000000000000e+00 9.387713352768985331e+00 -3.438279650486429517e+01
0.000000000000000000e+00 1.932321077450023239e+01 -1.526844348576026147e-02
0.000000000000000000e+00 2.082644622606387941e+00 -6.681730384209416229e+00
0.000000000000000000e+00 2.690780658005099468e+00 -9.446683984357797659e-01
0.000000000000000000e+00 1.705661777269037316e+01 -3.167917048183660711e+00
0.000000000000000000e+00 1.571094013099297904e+01 -2.414841922853493728e+01
0.000000000000000000e+00 1.299113830347386234e+01 -5.795459914347214436e+01
0.000000000000000000e+00 2.928777692381447473e+00 5.167496319223232604e+00
0.000000000000000000e+00 2.897903736138989661e+00 4.549718672022070365e+00
0.000000000000000000e+00 3.674979470180888441e+00 -4.796902676065434079e+00
0.000000000000000000e+00 1.602098332847737083e+01 1.604572855880595839e+01
0.000000000000000000e+00 7.037067476007304201e+00 1.177172628890954442e+01
0.000000000000000000e+00 7.080850607961497900e+00 8.227700093018651017e+00
0.000000000000000000e+00 3.269222954469971576e+00 5.719617013929443772e+00
0.000000000000000000e+00 3.202643002523711591e+00 6.575790427797731041e+00
0.000000000000000000e+00 3.897781974611903566e-01 -1.035313926194853806e+01
0.000000000000000000e+00 1.586580045661013960e+00 7.738356308550812912e+00
0.000000000000000000e+00 6.586874276151986063e-01 -8.304998961216023545e+00
0.000000000000000000e+00 3.626903683151494917e+00 -3.546431892811989339e+00
0.000000000000000000e+00 8.998948666200673685e+00 -7.769574879195623396e+00
0.000000000000000000e+00 5.359215095376974602e+00 -2.869441755331492594e+00
0.000000000000000000e+00 4.926984291001093474e+00 1.998801144539602603e+01
0.000000000000000000e+00 2.214533333924793457e+00 -8.482577067723715558e+00
0.000000000000000000e+00 2.678216907145823722e+00 -1.311221228442856157e+00
0.000000000000000000e+00 1.681648400873013038e+00 5.254393133494270174e+00
0.000000000000000000e+00 7.473789148408265248e+00 -2.522259319951034229e+01
0.000000000000000000e+00 2.111419521979331915e+00 -7.224639190653541654e+00
0.000000000000000000e+00 1.164731525507254783e+00 7.603940295434542307e+00
0.000000000000000000e+00 2.872886745155218691e-01 -8.860731284950270847e+00
0.000000000000000000e+00 6.116430655943123629e-01 -9.262460223657676295e+00
0.000000000000000000e+00 3.096934544857391280e+00 6.975589679177017111e+00
0.000000000000000000e+00 2.538785687687818537e+00 -5.135236117505633580e+00
0.000000000000000000e+00 1.130935231901242410e+01 -2.872444844122035690e+01
0.000000000000000000e+00 1.327475607544977620e+01 6.585485110445716828e+01
0.000000000000000000e+00 1.165900452705808021e+01 6.483320947525670874e+01
0.000000000000000000e+00 1.593975286586005513e+00 7.569619348439461604e+00
0.000000000000000000e+00 1.468227065972070422e+00 9.727783499647522092e+00
0.000000000000000000e+00 1.185903917541944130e+00 8.081530464687277870e+00
0.000000000000000000e+00 3.331369151210967328e+00 4.548065613374898675e+00
0.000000000000000000e+00 5.306421755633071946e+00 8.724022795116155304e-01
0.000000000000000000e+00 1.480566946146523399e+01 3.965391682201104828e+01
0.000000000000000000e+00 7.942555769611043814e+00 -2.151081803306145090e+01
0.000000000000000000e+00 3.836210755711458198e+00 -7.640075041015994550e+00
0.000000000000000000e+00 4.019257570028644366e+00 -7.095223049991940201e+00
0.000000000000000000e+00 1.254872279754047781e+01 -1.167981976757477014e+01
0.000000000000000000e+00 3.232014286571469608e+00 6.252682586574022316e+00
0.000000000000000000e+00 9.679111740634860794e+00 -2.223040407214663361e+01
0.000000000000000000e+00 5.185338150598931328e+00 9.001986702653782757e+00
0.000000000000000000e+00 2.107150051964493453e+00 -7.149028100823276333e+00
0.000000000000000000e+00 1.729837268343505841e+01 1.721427834944179169e+00
0.000000000000000000e+00 9.970232162041241963e+00 8.479256979104967229e+00
0.000000000000000000e+00 8.412565581249918267e+00 1.597211189003119003e+01
0.000000000000000000e+00 2.951710387720332562e+00 5.575361265587840620e+00
0.000000000000000000e+00 2.143698914815478140e+00 -7.737875916175281255e+00
0.000000000000000000e+00 4.440593221263258172e+00 8.984041114656655225e+00
0.000000000000000000e+00 3.517913360618380114e+00 -4.078525673031232479e-01
0.000000000000000000e+00 8.070510885375242083e+00 -1.093776590224801026e+01
0.000000000000000000e+00 2.065383938021549959e+00 -6.319651000578319966e+00
0.000000000000000000e+00 3.900982289939645686e-01 -1.035584294744490208e+01
0.000000000000000000e+00 6.269571303644914551e+00 1.299273177826849590e-01
0.000000000000000000e+00 1.018944568485032853e+01 2.338192732265770601e+01
0.000000000000000000e+00 2.711833284705971181e+00 -3.303932964690675655e-01
0.000000000000000000e+00 1.442174657401243287e+01 -2.705804628133123657e+01
0.000000000000000000e+00 3.985817660812307928e+00 -7.541107326777895636e+00
0.000000000000000000e+00 3.400722505129814444e+00 2.895185469697250547e+00
0.000000000000000000e+00 4.127887909593131788e+00 -4.585490336695646540e+00
0.000000000000000000e+00 7.487818850711893681e-01 -5.909936347449563421e+00
0.000000000000000000e+00 1.798446364274061127e+00 1.564904119082095146e+00
0.000000000000000000e+00 1.439312597593930576e+01 -1.605273584882437632e+01
0.000000000000000000e+00 8.883503812115723264e+00 3.279484741021915006e+00
0.000000000000000000e+00 4.065837452955157083e+00 -6.213495690510673519e+00
0.000000000000000000e+00 1.101959522967492866e+01 -5.294923591752510816e+01
0.000000000000000000e+00 5.353193679095556767e+00 -2.442359415152451696e+00
0.000000000000000000e+00 8.435900020061954052e+00 1.699403472573292007e+01
0.000000000000000000e+00 3.964508159700134371e+00 -7.742912765056662927e+00
0.000000000000000000e+00 6.076106767061447478e+00 -1.401843703601318047e+01
0.000000000000000000e+00 1.154277806366782899e+00 7.352788142124749626e+00
0.000000000000000000e+00 9.822627137880221682e+00 -7.527940649283108243e+00
0.000000000000000000e+00 1.081838519673304466e+00 5.364667289737477418e+00
0.000000000000000000e+00 2.471000357378441592e+00 -6.641026674077124881e+00
