### PARAMETERS OF THE TIME EVOLUTION ### 
Total time tau = 12
Timestep dt = 1
P = tau/dt = 12
Number of Fourier coefficients Nc = 12

gamma(t) = t/T*(delta_t + \sum_i^Nc gamma_i*f_i(wi, t) 
beta(t) = (1-t/T)*(delta_t + \sum_i^Nc beta_i*f_i(wi, t)

CRAB coefficient   Cz_start// Cx_start// Cxz_start // pulses//  Cz_opt // Cx_opt // Cxz_opt  
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.575908449732950345e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.736672418344860702e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.370581966983336564e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.400239695279454111e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.771948112492126626e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.376900601669197499e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.592296951703315244e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.197574528078276188e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.843647936827563427e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.956502163650976200e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.423318996188047336e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.229580698528755534e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00

Amplitudes vs time: t // theta_tt_old // theta_mt_old // alpha_cdt_old// theta_tt_opt // theta_mt_opt// alpha_cdt_opt  
0.000000000000000000e+00 -1.852577711163262419e-01 4.338496169164498539e-01 1.636723118538370159e-01 -1.852577711163262419e-01 4.338496169164498539e-01 1.636723118538370159e-01
1.000000000000000000e+00 5.375739814718233367e-02 6.606345388391220430e-01 2.533943543643404350e-01 5.375739814718233367e-02 6.606345388391220430e-01 2.533943543643404350e-01
2.000000000000000000e+00 2.725567804045594955e-01 4.389515967651673733e-01 2.551823267163211284e-01 2.725567804045594955e-01 4.389515967651673733e-01 2.551823267163211284e-01
3.000000000000000000e+00 4.260147552051141151e-01 3.043362993032180386e-01 2.475387664961448131e-01 4.260147552051141151e-01 3.043362993032180386e-01 2.475387664961448131e-01
4.000000000000000000e+00 5.728123826220683501e-01 2.148791904559927968e-01 2.426913360631379746e-01 5.728123826220683501e-01 2.148791904559927968e-01 2.426913360631379746e-01
5.000000000000000000e+00 6.849557205286632700e-01 1.708817162202366235e-01 2.323374593124034604e-01 6.849557205286632700e-01 1.708817162202366235e-01 2.323374593124034604e-01
6.000000000000000000e+00 7.092209531218846008e-01 1.795049277467409832e-01 2.106772968708625626e-01 7.092209531218846008e-01 1.795049277467409832e-01 2.106772968708625626e-01
7.000000000000000000e+00 7.077633413757387082e-01 1.730813269988942249e-01 1.822323263680408756e-01 7.077633413757387082e-01 1.730813269988942249e-01 1.822323263680408756e-01
8.000000000000000000e+00 8.173640377977188232e-01 1.375895554487838179e-01 1.426265845705350088e-01 8.173640377977188232e-01 1.375895554487838179e-01 1.426265845705350088e-01
9.000000000000000000e+00 9.535177562912525717e-01 1.151369039423073282e-01 1.171213220904465668e-01 9.535177562912525717e-01 1.151369039423073282e-01 1.171213220904465668e-01
1.000000000000000000e+01 9.379568213366500373e-01 7.861131185892462903e-02 8.460711097817963378e-02 9.379568213366500373e-01 7.861131185892462903e-02 8.460711097817963378e-02
1.100000000000000000e+01 9.465788989313180801e-01 4.555986188151935762e-02 2.792824355436884787e-02 9.465788989313180801e-01 4.555986188151935762e-02 2.792824355436884787e-02

Residual energy after optimization is 0.003436488745923453 C0x=1.0 C0z=1.0 C0xz=1.0
Optimization procedure took 3.07143497467041 seconds
