### PARAMETERS OF THE TIME EVOLUTION ### 
Total time tau = 12
Timestep dt = 1
P = tau/dt = 12
Number of Fourier coefficients Nc = 12

gamma(t) = t/T*(delta_t + \sum_i^Nc gamma_i*f_i(wi, t) 
beta(t) = (1-t/T)*(delta_t + \sum_i^Nc beta_i*f_i(wi, t)

CRAB coefficient   Cz_start// Cx_start// Cxz_start // pulses//  Cz_opt // Cx_opt // Cxz_opt  
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.697041981893569584e+00 5.996076010623289237e-02 -1.310458273613232527e-01 5.341677975439759751e-03
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.402387628313383150e+00 -3.535733190238471213e+00 -4.574217978439972798e-01 5.591756705674759687e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.389142269384638029e+00 -1.831706307863250727e+00 -4.271636706578901821e-01 -5.802719071516498417e+01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.450136089963067754e+00 3.545686241840476649e-01 4.920226446589149455e-02 -1.118062736170980301e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.354696391143967560e+00 4.219068786941200799e-01 3.829809367244294549e-01 -1.491619895304600873e-03
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.204183210764051992e+00 5.524046252959571746e+00 1.359889510107406219e+00 8.275956395447868985e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.665688084055221729e+00 2.900540568068361136e+00 2.420870086777534569e-01 -3.441656670394456219e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.548629680414624232e+00 2.331724491043054570e+00 2.049876302469776090e-01 -6.572603408788261214e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.426628623222905956e+00 -2.983862697716975543e+00 -7.233804215244215019e-01 4.991466726120635400e+01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.050369578876576426e+01 1.270446812499149702e-01 1.172498782641893771e-02 -3.570283189619085674e-03
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.138312125831445520e+01 1.170427989062132190e-01 -9.844528879647072850e-02 1.735493182636330058e-05
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.228344806958636681e+00 -1.576783785058919751e-01 -4.206734538655835798e-01 1.472938662966566436e-03

Amplitudes vs time: t // theta_tt_old // theta_mt_old // alpha_cdt_old// theta_tt_opt // theta_mt_opt// alpha_cdt_opt  
0.000000000000000000e+00 4.166666666666666435e-02 9.583333333333333703e-01 0.000000000000000000e+00 -6.834691330608905213e-02 6.106139854498593422e-03 1.416350437490923042e-01
1.000000000000000000e+00 1.250000000000000000e-01 8.750000000000000000e-01 0.000000000000000000e+00 1.371410754270348531e-01 6.075225597618119089e-01 3.104280919445578935e-01
2.000000000000000000e+00 2.083333333333333426e-01 7.916666666666666297e-01 0.000000000000000000e+00 3.150770021096164220e-01 4.640318214884498471e-01 3.293481858793132488e-01
3.000000000000000000e+00 2.916666666666666852e-01 7.083333333333332593e-01 0.000000000000000000e+00 4.663501231607003472e-01 4.203534008155234702e-01 3.019174397504507112e-01
4.000000000000000000e+00 3.750000000000000000e-01 6.250000000000000000e-01 0.000000000000000000e+00 5.920503460759150016e-01 3.983546823498027578e-01 3.047739159479823101e-01
5.000000000000000000e+00 4.583333333333333148e-01 5.416666666666667407e-01 0.000000000000000000e+00 6.801864333403608853e-01 3.031542159772416811e-01 3.109471957452161206e-01
6.000000000000000000e+00 5.416666666666666297e-01 4.583333333333333703e-01 0.000000000000000000e+00 7.350229140240732706e-01 2.185121216416867351e-01 3.232699412383190918e-01
7.000000000000000000e+00 6.250000000000000000e-01 3.750000000000000000e-01 0.000000000000000000e+00 6.962983854713419296e-01 2.096513586158969822e-01 3.222701202719164826e-01
8.000000000000000000e+00 7.083333333333333703e-01 2.916666666666666297e-01 0.000000000000000000e+00 7.290342560544735839e-01 2.321270051817506119e-01 2.711365168849022567e-01
9.000000000000000000e+00 7.916666666666666297e-01 2.083333333333333703e-01 0.000000000000000000e+00 8.741838880261437739e-01 2.069729191605521323e-01 2.279612940669109022e-01
1.000000000000000000e+01 8.750000000000000000e-01 1.250000000000000000e-01 0.000000000000000000e+00 9.285822354309085647e-01 9.980122292085333302e-02 1.720114494638695923e-01
1.100000000000000000e+01 9.583333333333333703e-01 4.166666666666662966e-02 0.000000000000000000e+00 9.412392335297532497e-01 4.918224923003787497e-02 6.713618775169405417e-02

Residual energy after optimization is 0.00825711406441891 C0x=0.9589024718942569 C0z=2.3429514849987236 C0xz=1.0
Optimization procedure took 31.245259284973145 seconds
