### PARAMETERS OF THE TIME EVOLUTION ### 
Total time tau = 42
Timestep dt = 1
P = tau/dt = 42
Number of Fourier coefficients Nc = 42

gamma(t) = t/T*(delta_t + \sum_i^Nc gamma_i*f_i(wi, t) 
beta(t) = (1-t/T)*(delta_t + \sum_i^Nc beta_i*f_i(wi, t)

CRAB coefficient   Cz_start// Cx_start// Cxz_start // pulses//  Cz_opt // Cx_opt // Cxz_opt  
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.660449950804145480e+00 -4.848997964354894163e-01 -1.190536786662905744e-01 5.291600951138264453e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.987627560492801315e+00 -1.222511564170047915e+00 -1.787438299810102382e-01 5.611832029781852471e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.389716180079238583e+00 6.445055113431275018e-01 1.431499798058082917e-01 -7.165431702820730386e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.466521166363082251e+01 -6.441246118096427033e-03 2.729867331257036095e-03 -2.368279503740356763e-03
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.723579899285796913e+00 7.717508713257902053e-02 7.541908250082389638e-03 5.209688850280817102e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.286799630689861473e+00 2.011967725473277735e+00 -1.891774995095436840e-01 4.410858961190943783e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.009601947943799427e-01 -8.197538791536204128e-01 -3.534884224403059827e-01 5.819854666981805202e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.059792689343556660e+01 -1.955100380126262533e-04 -1.101193914234732988e-04 -2.573663256949228039e-06
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.023923028368896482e+00 8.548654871353140727e-01 2.383319158832528095e-01 -8.781083221092257363e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.070912950780947615e+00 -6.331502825373159782e-01 -1.815515336279837355e-01 6.889651954322085770e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.346160970636059329e+00 -5.263414881840303705e-01 -1.522584989375343478e-01 3.846755348223424575e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.914115402844092984e+00 1.095871181661220772e+00 -1.836232632128591974e-02 -1.766979977631049914e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.481075844435528754e+00 2.103907648433258337e-01 3.642874922115393529e-03 -1.624075270472684351e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.309979507343929317e+00 -5.837654655210714472e-01 -1.673053272160916483e-01 4.670550557137427283e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.764995189131990827e+00 -7.800180068185295079e-01 -1.450743377372795684e-01 4.903267172497240978e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.627704854549546498e+00 3.046026534497150995e-01 6.693642694686147143e-02 -2.119781303376332138e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.598995522377659739e+00 6.888136993782794093e-01 1.196857435373555184e-01 -5.794138724255373241e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.317549713192823546e+00 1.840757349728065373e+00 -2.885357282559863346e-01 7.641583974450784078e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.121275196804916163e+00 -2.838571809722174599e+00 5.912059240767840729e-01 -1.565524570310016683e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.326768548392667668e+00 -3.840370294940316231e-01 1.608805305304526409e-02 -5.789223063183194379e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.724545175247506945e+00 7.475839763345525080e-02 6.905645412013767040e-03 5.474540115427908166e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.248994646103931849e+00 9.555216117042549806e-01 1.668397495591429081e-01 -7.787952921027122555e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.857715338025785812e+00 1.116716054846502937e+00 -4.606750298462305993e-02 -1.551727209931967437e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.321305033687477426e+01 6.779513451945076707e-02 -1.021351433669925000e-02 2.212163351962461930e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.352973654936425074e-01 -8.335189117259741431e-01 -3.629915857131266188e-01 5.777590500250127103e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.843378165007241609e+00 8.753258844713205367e-01 1.819221613983080243e-01 -1.032863489569178617e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.736976007777655262e+00 -7.414183305185441109e-01 -1.551822444063334083e-01 6.877405256536659461e-01
