### PARAMETERS OF THE TIME EVOLUTION ### 
Total time tau = 18
Timestep dt = 1
P = tau/dt = 18
Number of Fourier coefficients Nc = 18

gamma(t) = t/T*(delta_t + \sum_i^Nc gamma_i*f_i(wi, t) 
beta(t) = (1-t/T)*(delta_t + \sum_i^Nc beta_i*f_i(wi, t)

CRAB coefficient   Cz_start// Cx_start// Cxz_start // pulses//  Cz_opt // Cx_opt // Cxz_opt  
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.363552987682645323e+00 -1.038110675351545353e+01 5.643369828119343623e+00 8.567637470277512934e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.848160706501613149e+01 -1.958785646366625610e-01 1.983154935872248448e+00 -5.214999392555286911e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.869035224530115613e+00 -7.093452584031960662e+00 7.406108244326866874e+00 -3.736265191400624935e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.284263619875959819e+02 -5.319940672018894090e-02 -5.499264628751251993e-02 2.757017794220099037e-03
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.521187540902729651e+01 -7.247825599150947706e-02 -7.512207302571478895e-02 3.495827943909556382e-03
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.169231422324758185e+01 4.592344624576669837e-02 -1.338280380301266241e-03 -1.409204449041022086e-03
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.012503396406494005e+01 2.605876085443184498e-02 4.030896438337494558e-02 -3.250712694528666135e-03
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.299942011687079813e+01 -5.167945275846599212e-02 -4.302563239530926564e-02 2.061555449895329829e-03
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.942519687313998489e+01 -4.679753193624637542e-02 -1.782082678541742071e-01 6.566001049469675013e-03
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.907144723435028055e+00 6.065604631948727565e+00 -3.073951364138041153e+00 -5.561486307873345081e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.586552929901170117e+01 -2.931258949615850540e+00 4.687993791045717562e-01 5.416457821453238980e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.070515866828305462e+00 1.440635596778102290e+01 -1.179023807062787021e+01 -1.218870156817569543e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.677315474650698235e+01 -3.052167355322444112e-02 -3.301851392343696512e-02 1.826822013988640405e-03
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.949911026342506659e+01 1.406319025697668978e+00 9.483966922732329774e-01 8.885301505500751984e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.218109665676212572e+01 2.171414468137642523e-02 1.315011460875806226e-02 -8.296859647635894744e-04
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.215038412980363347e+01 3.355077292764814256e-01 -1.785269033363244606e+00 4.041658078148193528e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.830143704450402709e+01 3.836949344262944872e-01 -2.392690191977203895e+00 5.859736587863408064e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.349462512643690815e+01 1.400940423627640374e+00 9.371682780790362433e-01 9.029582748953141058e-02

Amplitudes vs time: t // theta_tt_old // theta_mt_old // alpha_cdt_old// theta_tt_opt // theta_mt_opt// alpha_cdt_opt  
0.000000000000000000e+00 -1.463769421442016605e-01 3.301732866678563916e-01 1.741034628067534840e-01 -1.490903279212507371e-01 3.307845332829064677e-01 1.756505136556300306e-01
1.000000000000000000e+00 1.140474336516094783e-01 7.100267869778691399e-01 2.941754261916882385e-01 1.108004228542345537e-01 7.044163219715510182e-01 2.962770626984423394e-01
2.000000000000000000e+00 2.835798888550271624e-01 5.818241934594854392e-01 3.329424472861486350e-01 2.785552477705733332e-01 5.716392285114649807e-01 3.340087420803510287e-01
3.000000000000000000e+00 3.056574597456420128e-01 4.153393397448670310e-01 3.569092930402719688e-01 3.005402358325937051e-01 4.063458125732708481e-01 3.575907637683144458e-01
4.000000000000000000e+00 3.211993441595072385e-01 3.129810291926027332e-01 3.678523763237890876e-01 3.195614994168941569e-01 3.079855048468425616e-01 3.667670947504338974e-01
5.000000000000000000e+00 3.772939067426068771e-01 2.646547403338765925e-01 3.659399945342083349e-01 3.764846582828617616e-01 2.621605861031464091e-01 3.659425392173223934e-01
6.000000000000000000e+00 4.922422896560519900e-01 2.599912198603413493e-01 3.577010196411953835e-01 4.921208336552939100e-01 2.560905232041160162e-01 3.573239830375534165e-01
7.000000000000000000e+00 6.413470021621139328e-01 2.880051848539086912e-01 3.543607188046040690e-01 6.401047237010951685e-01 2.840995261308659758e-01 3.552736378250354043e-01
