### PARAMETERS OF THE TIME EVOLUTION ### 
Total time tau = 10
Timestep dt = 1
P = tau/dt = 10
Number of Fourier coefficients Nc = 10

gamma(t) = t/T*(delta_t + \sum_i^Nc gamma_i*f_i(wi, t) 
beta(t) = (1-t/T)*(delta_t + \sum_i^Nc beta_i*f_i(wi, t)

CRAB coefficient   Cz_start// Cx_start// Cxz_start // pulses//  Cz_opt // Cx_opt // Cxz_opt  
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.069795531268092503e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.067270208181818703e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.039147724981171450e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.534868906247095488e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.213132724707791255e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.764699684779893119e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.529515175183744802e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.106817608282427479e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.110363664105599923e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.103267112941018979e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00

Amplitudes vs time: t // theta_tt_old // theta_mt_old // alpha_cdt_old// theta_tt_opt // theta_mt_opt// alpha_cdt_opt  
0.000000000000000000e+00 2.822625375601517383e-01 1.117242740819735181e+00 1.663685818452310394e-01 2.822625375601517383e-01 1.117242740819735181e+00 1.663685818452310394e-01
1.000000000000000000e+00 2.864665988373029104e-01 6.507177263863118677e-01 2.452225983618440130e-01 2.864665988373029104e-01 6.507177263863118677e-01 2.452225983618440130e-01
2.000000000000000000e+00 3.881047617661073090e-01 4.658985483319620924e-01 2.486495688277940985e-01 3.881047617661073090e-01 4.658985483319620924e-01 2.486495688277940985e-01
3.000000000000000000e+00 5.360594119006347746e-01 4.510767299588209767e-01 2.358811163319156079e-01 5.360594119006347746e-01 4.510767299588209767e-01 2.358811163319156079e-01
4.000000000000000000e+00 6.459698489174623415e-01 4.195597419904841252e-01 2.311458293038975431e-01 6.459698489174623415e-01 4.195597419904841252e-01 2.311458293038975431e-01
5.000000000000000000e+00 7.827830662555486096e-01 3.668777564682321191e-01 2.053104602006363688e-01 7.827830662555486096e-01 3.668777564682321191e-01 2.053104602006363688e-01
6.000000000000000000e+00 8.761735003531835320e-01 3.243835941343582441e-01 2.044753283634551666e-01 8.761735003531835320e-01 3.243835941343582441e-01 2.044753283634551666e-01
7.000000000000000000e+00 8.140326185372068757e-01 2.661856309599007209e-01 2.244951545449995201e-01 8.140326185372068757e-01 2.661856309599007209e-01 2.244951545449995201e-01
8.000000000000000000e+00 8.480415837785421074e-01 1.552611358342451675e-01 1.578498473036621386e-01 8.480415837785421074e-01 1.552611358342451675e-01 1.578498473036621386e-01
9.000000000000000000e+00 8.512196482836129618e-01 1.450172145598856502e-02 5.750533565744216091e-02 8.512196482836129618e-01 1.450172145598856502e-02 5.750533565744216091e-02

Residual energy after optimization is 0.010933702467763963 C0x=1.0 C0z=1.0 C0xz=1.0
Optimization procedure took 0.05535125732421875 seconds
