### PARAMETERS OF THE TIME EVOLUTION ### 
Total time tau = 30
Timestep dt = 1
P = tau/dt = 30
Number of Fourier coefficients Nc = 30

gamma(t) = t/T*(delta_t + \sum_i^Nc gamma_i*f_i(wi, t) 
beta(t) = (1-t/T)*(delta_t + \sum_i^Nc beta_i*f_i(wi, t)

CRAB coefficient   Cz_start// Cx_start// Cxz_start // pulses//  Cz_opt // Cx_opt // Cxz_opt  
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.981870698072263082e+01 1.375893404644754348e-01 1.385247004884344046e-01 2.214068003408071195e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.777425046464568936e+01 3.233860177284755832e-01 -8.664518587020733631e-02 5.471234415726396350e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.887660892749987340e+01 -4.438487813349952654e-02 -7.376135192394341067e-02 -9.266998399735575098e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.808117191382351052e+00 8.453994591328515273e-01 3.561273680824927346e-01 6.830010108697200932e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.651870157683610785e+01 -8.681817940687994173e-03 -8.497160747177478005e-03 2.460793718634417607e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.105088285235444090e+01 -1.301412300301976466e-01 -1.013015131113217601e-02 2.645190170903157900e-03
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.407338772939684191e+01 -3.200886335372538638e-01 6.158763841874586448e-02 7.157206324317720580e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.228956275096242834e+01 -5.256424234911528243e-02 -2.532514056644035241e-02 -6.449810783923642932e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.185010141372233861e+01 -1.754721879415097885e-01 1.187142734696212780e-02 9.237022787004712382e-03
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.532757971052734547e+01 3.065844128506495792e-01 2.399416862329293576e-01 8.021278720619082203e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.528134600951692335e+01 4.594218578131890607e-01 -9.334773478864419674e-03 5.881650068502397133e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.162016526885098600e+00 -2.169134094437279892e+00 -7.648070541906509812e-01 4.287164581111750916e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.528755892418113049e+01 -4.581227195773560634e-01 1.833926571051585838e-03 -5.873710650054348115e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.518602319714474902e+01 2.960740248302631827e-01 -7.093844788251998934e-02 -7.610408246380069575e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.857587507586166709e+01 2.496025246459685765e-01 -4.271410441267555272e-03 -1.703510355842074303e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.784114430314625110e+01 4.467521858630396289e-03 2.138995659760632440e-01 2.188640042256143059e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.519678768073500308e+01 -1.936584764732850183e-01 3.903334601740222898e-02 4.832484605648574433e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.764598769218309826e+01 -3.070138840514112337e-03 -1.024915856714816997e-02 -1.107047747783867532e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.379175212880842594e+01 2.151196593997774520e-01 4.314099131478276589e-02 8.902713673851322951e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.355930567079755988e+01 -3.362412395237079910e-01 -1.289428930707825216e-01 -6.745361819656230384e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.983587968627475817e+01 -2.685384398433812159e-01 -2.887761369063551742e-01 2.316494803119021062e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.348185032642651038e+01 3.449484537507611637e-01 1.277222984131020922e-01 6.867362701567553129e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.365253850462370622e+01 1.822628885075270877e-01 -3.364048247665063496e-02 -4.567759978341717070e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.003065542350353212e+01 2.597312722761149217e-01 2.755766747616004153e-01 -2.287200658265187148e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.770959941330293930e+01 -7.195865038782782615e-03 -1.860144312284919554e-01 -1.837847326130293002e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.417616639181701554e+00 2.370847614800872805e+00 8.250388488792987918e-01 -8.803095476976523504e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.104795767333234835e+01 6.680850976781146922e-02 4.021719078466894776e-02 9.773460930240790434e-02
