### PARAMETERS OF THE TIME EVOLUTION ### 
Total time tau = 72
Timestep dt = 1
P = tau/dt = 72
Number of Fourier coefficients Nc = 72

gamma(t) = t/T*(delta_t + \sum_i^Nc gamma_i*f_i(wi, t) 
beta(t) = (1-t/T)*(delta_t + \sum_i^Nc beta_i*f_i(wi, t)

CRAB coefficient   Cz_start// Cx_start// Cxz_start // pulses//  Cz_opt // Cx_opt // Cxz_opt  
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.047212140561185123e+01 -5.363693811732456879e-02 4.500647484119361247e-02 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.751668299102229653e+00 5.099199957904935188e-01 7.214173898040425470e-02 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.913408640962159524e+01 3.856806642197861679e-03 -1.238075261471741171e-04 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.399326716664194237e+01 4.511940576415586143e-03 6.374155343633164730e-03 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.456972454847825702e+02 -6.410629885990894172e-02 8.663843061575866589e-01 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.835958549701297216e+01 -2.783323642493393539e-04 1.011323199147303202e-04 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.631076308013366827e+01 6.450336193585964883e-02 -5.950225555647417619e-02 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.353067025265869461e+01 -4.953002923022368359e-04 -1.471023985480270752e-04 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.314644498195459121e+01 1.244122803912782460e-02 4.191363424000071197e-02 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.478331250001335206e+01 -3.123105054971495335e-05 6.117443339981719504e-05 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.223008487075450290e+01 -4.976625908688427774e-02 6.422281860751536398e-01 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.267779522327782260e+01 8.586386441751123200e-03 1.608644113798927966e-02 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.720968334987159665e+02 -4.114672766099296969e-02 -5.508310200109158006e-02 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.770590520416081759e+01 -5.142016393825923903e-02 -5.961989366861944473e-02 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.745191796701453768e+01 1.148847915031568807e-02 1.367142616528618966e-02 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.722836614290619650e+01 5.185146781515453940e-02 -5.424620592497737120e-02 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.091237528601560314e+00 -6.313872784806497940e-01 -6.767129670384867957e-02 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.536411016186535861e+00 3.373341322913954443e-02 -7.562001468799108006e-02 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.029910947278501254e+01 -5.387402684799307284e-01 5.979559761245658578e-01 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.271680561993998282e+01 -1.343060152831238203e-03 6.762753342504044911e-03 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.080108058101254542e+00 6.892804085250704427e-01 2.815517189534456066e-01 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.053177880301840474e+01 7.540424501032262639e-02 -4.518671427932050705e-02 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.159296863003685729e+00 -8.961901579178825905e-01 -4.651872505110493106e-01 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.146288133127210784e+00 2.423220537398412533e-01 2.176436470958347316e-02 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.824690153625789435e+01 7.978769551016969388e-04 9.055563145981595770e-06 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.524260328965038980e+01 2.228826477490158410e-04 -1.177122405560357036e-04 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.086815887190005014e+02 3.596415857337659921e-02 -4.777560089096700296e-02 0.000000000000000000e+00
