### PARAMETERS OF THE TIME EVOLUTION ### 
Total time tau = 12
Timestep dt = 1
P = tau/dt = 12
Number of Fourier coefficients Nc = 12

gamma(t) = t/T*(delta_t + \sum_i^Nc gamma_i*f_i(wi, t) 
beta(t) = (1-t/T)*(delta_t + \sum_i^Nc beta_i*f_i(wi, t)

CRAB coefficient   Cz_start// pulses//  Cz_opt  
0.000000000000000000e+00 4.203192365479731052e+01 -1.361854753616482949e-02
0.000000000000000000e+00 1.618544659240978945e+01 -2.208435898810730508e-04
0.000000000000000000e+00 2.442365314400185028e+01 -4.476444302627294314e-02
0.000000000000000000e+00 2.038893944905032640e+01 1.680448831323417408e-03
0.000000000000000000e+00 3.354738105521371239e+01 -1.196877009205764893e-03
0.000000000000000000e+00 1.823371411072396597e+01 -3.344470597918804827e-02
0.000000000000000000e+00 2.327557208631108665e+01 -4.070739976952110484e-02
0.000000000000000000e+00 4.285457331422258420e+01 -2.992822545546755530e-02
0.000000000000000000e+00 1.390223248335203898e+01 -7.528949308631834557e-04
0.000000000000000000e+00 1.894514633978409890e+01 -3.206176636209279868e-02
0.000000000000000000e+00 7.605894170422527623e+01 4.333694287367816089e-03
0.000000000000000000e+00 7.795861287761970182e+00 -6.224025044522039050e-03

Amplitudes vs time: t // theta_tt_old // theta_mt_old // alpha_cdt_old//theta_ttdot_old // theta_tt_opt // theta_mt_opt// alpha_cdt_opt// theta_ttdot_opt //  
0.000000000000000000e+00 2.161559333241583336e-01 7.838440666758417219e-01 3.513302982814582587e-02 3.682043886044626957e-01 2.149070928078979648e-01 7.838440666758417219e-01 3.465509208381069295e-02 3.640224694454100018e-01
1.000000000000000000e+00 4.417940745915630574e-01 5.582059254084369426e-01 1.703699952093894188e-02 1.311778081126773743e-01 4.418532272620362411e-01 5.582059254084369426e-01 1.729071304446541321e-02 1.331255954599852021e-01
2.000000000000000000e+00 5.066702074989060112e-01 4.933297925010939888e-01 1.337525902481070342e-03 9.982901515155517824e-03 5.103166614623715347e-01 4.933297925010939888e-01 2.987051216976977733e-03 2.227719366723098643e-02
3.000000000000000000e+00 5.302191865873895349e-01 4.697808134126104651e-01 -5.613363044697032220e-03 -4.176544306663659833e-02 5.280501489823579142e-01 4.697808134126104651e-01 6.379091938743906972e-04 4.746761287321044076e-03
4.000000000000000000e+00 5.340960037529721705e-01 4.659039962470278295e-01 5.128276295700061847e-03 3.815281848767981820e-02 5.323891875431978615e-01 4.659039962470278295e-01 2.171272411110190814e-02 1.615400155327118004e-01
5.000000000000000000e+00 5.648775536945155329e-01 4.351224463054844671e-01 1.912696525627651314e-02 1.428082274797660978e-01 5.726864088315780643e-01 4.351224463054844671e-01 3.882357139630836229e-02 2.904817668301523104e-01
6.000000000000000000e+00 6.229468504094370918e-01 3.770531495905629082e-01 6.159668447698433968e-03 4.725001758932628054e-02 6.350991251915367730e-01 3.770531495905629082e-01 2.392439914700743644e-02 1.851555833774206627e-01
7.000000000000000000e+00 6.664461401884025360e-01 3.335538598115974640e-01 -1.197867155781941889e-02 -9.530491069347826749e-02 6.739228266748902296e-01 3.335538598115974640e-01 1.014094652375456714e-02 8.129652549336961742e-02
8.000000000000000000e+00 6.931930987459800075e-01 3.068069012540199925e-01 -8.074099782872063780e-04 -6.610960070321358906e-03 6.861520148684077114e-01 3.068069012540199925e-01 4.205525069710781133e-02 3.416034986794220241e-01
9.000000000000000000e+00 7.329599035122614792e-01 2.670400964877385208e-01 2.379818123959673293e-02 2.049347865202007235e-01 7.270522119157520891e-01 2.670400964877385208e-01 9.223212443310614683e-02 7.878898330499299885e-01
1.000000000000000000e+01 8.082942012988771907e-01 1.917057987011228093e-01 1.954055106078092519e-02 1.890149658581397607e-01 8.307772236105084307e-01 1.917057987011228093e-01 7.180944349393449111e-02 7.220838150709634196e-01
1.100000000000000000e+01 9.263562314887475724e-01 7.364376851125242762e-02 -7.250329763229449278e-04 -8.714526645832318397e-03 9.476780079833453385e-01 7.364376851125242762e-02 2.400521029196326511e-02 3.008367774614687518e-01

Residual energy after optimization is 0.01016631777602635
Optimization procedure took 1.9164230823516846 seconds
