### PARAMETERS OF THE TIME EVOLUTION ### 
Total time tau = 54
Timestep dt = 1
P = tau/dt = 54
Number of Fourier coefficients Nc = 54

gamma(t) = t/T*(delta_t + \sum_i^Nc gamma_i*f_i(wi, t) 
beta(t) = (1-t/T)*(delta_t + \sum_i^Nc beta_i*f_i(wi, t)

CRAB coefficient   Cz_start// Cx_start// Cxz_start // pulses//  Cz_opt // Cx_opt // Cxz_opt  
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.559069305961220842e+00 2.210167935114868212e-02 -1.523380436025518689e-02 -6.886863260772022044e-03
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.836104921013697044e+00 1.484637475674078881e-02 1.573094666388057507e-03 3.221547709955975038e-04
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.420077183110349139e+00 4.046657851539463280e-02 -2.883915798353719334e-02 -3.368661553751275961e-03
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.327497734819973196e+01 3.433948223460075999e-02 3.627516731717553419e-04 4.360598203640763358e-03
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.393112927194559703e+00 -2.767198351158360603e-02 3.157454901522291357e-02 1.017398307883069820e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.765401304535576088e+01 -9.266041911135408258e-04 -1.908992573218405828e-04 -4.613736824873051573e-05
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.192329466969955298e+01 8.397589749260352121e-02 1.338415616638072552e-04 2.064558728377652655e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.490784066739865743e+00 2.872969486857928842e-02 -1.978814398708916497e-02 -2.274747113144078448e-03
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.641162779443421371e+00 -5.859470733625661565e-02 4.918017478037120527e-02 -1.178392858403760901e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.013478252253615874e+00 4.609134568750039573e-02 -4.991106793131751262e-02 9.332418524469910520e-03
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.561256030888380275e+00 -4.919754718100964597e-02 3.354171746196581844e-02 -1.374154248598397597e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.759154054927961397e+00 -8.390159706060999062e-03 1.915173818860118823e-02 -1.168135581933710601e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.666265944571915014e+00 -2.224059387027515697e-02 1.666284801965425832e-02 1.033127490696436959e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.181643779310629583e+00 -7.446400019564439199e-03 1.556095974272786973e-02 -3.663436063682342335e-03
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.801915787042099870e+00 -6.182534395208208466e-02 6.256359934082145191e-02 -9.160695860087608722e-03
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.695117743655006670e+00 -2.018913456378476634e-02 1.401571126188561577e-02 1.021971408997330265e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.372959325875375391e+00 -9.743992350737435554e-03 -9.033778395527013172e-03 9.103816618035637243e-03
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.490418475130758758e+00 2.875676511877722427e-02 -1.982346209721500344e-02 -2.263307939325559168e-03
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.913773686724898226e+00 -3.095369488143670522e-02 5.363711648877334849e-03 -5.648977433225885192e-03
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.552999557822059007e+00 -4.793431798008476047e-02 3.159318998116006361e-02 -1.397064239734476833e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.796934020832648138e-01 8.042114765802257925e-02 -1.102107739685768972e-01 -1.709509172979105027e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.928300194116975774e+01 -5.308270879980083942e-04 1.017553774328074784e-04 -1.471117466528761826e-05
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.883176936866494788e+00 -3.288084621811007691e-02 6.674552589016348979e-03 -4.818192326650915305e-03
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.136208995903472907e+00 2.773291498635964067e-02 -3.663629550348607850e-02 1.046833640551872620e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.828502173834688271e+00 1.535305194866274509e-02 9.535166908599582809e-04 1.153315956901707718e-04
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.491945797157125497e+00 5.114161676492948172e-02 -4.036131218552955341e-02 -2.015467850733743821e-03
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.264936857019673511e+00 -1.438268642974753313e-02 3.490098617523617469e-02 4.402712739707969822e-03
