### PARAMETERS OF THE TIME EVOLUTION ### 
Total time tau = 48
Timestep dt = 1
P = tau/dt = 48
Number of Fourier coefficients Nc = 48

gamma(t) = t/T*(delta_t + \sum_i^Nc gamma_i*f_i(wi, t) 
beta(t) = (1-t/T)*(delta_t + \sum_i^Nc beta_i*f_i(wi, t)

CRAB coefficient   Cz_start// Cx_start// Cxz_start // pulses//  Cz_opt // Cx_opt // Cxz_opt  
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.278081291595555236e+01 1.125982084046036995e-02 5.253645647417004919e-03 -9.175053251825916745e-04
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.696790409109496522e+00 1.652622047111722281e-02 -2.118761655813473921e-02 9.595319319856869880e-04
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.352360985235238289e+00 -5.415471840364414341e-02 -6.082664677549105142e-02 -1.125884442957367400e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.110444319969571048e+00 7.718339467787055895e-03 -8.664869061053929447e-04 1.074321078620484385e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.658655945245768315e+00 -4.836411292146808143e-03 -1.268266224487212337e-03 1.552190324179221828e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.491581323993838915e+00 2.462591989131816903e-03 2.507029297111086630e-03 5.361439718169476107e-03
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.248916283004530392e+00 2.535816825172871204e-03 -2.447752455850916997e-02 -1.530829287509727007e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.460994530697742544e+00 -1.084587669142200866e-01 -9.307921770141260043e-02 -4.544681931135431847e-03
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.611326917673574055e-01 -1.213879681426893037e-01 -1.365655960174258776e-01 -5.456430366067007570e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.580944671243824651e+00 -2.155247860721667876e-03 1.002472354388289730e-04 1.130455289232621535e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.088057294657421403e-01 -1.438867167923709167e-01 -1.549034837200322923e-01 -5.911248663201813108e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.391546860710489497e+00 -7.458315056595697656e-02 -7.330512147042050897e-02 -9.100679542034679700e-03
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.208055421415916264e+00 1.403166874529483861e-02 -6.230777974039406050e-04 3.983065610038676735e-03
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.288348024889343968e+00 -1.429310600245179384e-02 8.211117404020442517e-03 1.947645700075859368e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.132782914553030373e+00 7.966651332730632917e-03 -1.425440324406321117e-02 -1.746566364489524764e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.792336684907159139e+00 -1.080458679569534612e-02 7.644360058095084516e-03 1.492474973839399803e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.931704762178121371e+00 -6.088003624795773963e-03 -2.947088285433458604e-03 1.202665500938659461e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.057666327227684278e+00 2.333801219018050155e-02 1.995626079348580481e-02 -1.806281518782136900e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.620319352872598540e+00 2.148479256282626870e-01 1.321567321612608370e-01 -3.785219069164221482e-03
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.343478162540578857e+01 -8.046703647453124636e-03 1.817739459398993312e-03 2.367659748703880563e-04
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.566299530835241249e+01 4.075446370674034690e-04 2.010776385156216959e-03 6.474339445195740912e-04
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.097753361025659125e+00 -1.686487646484624266e-03 2.420359056273055191e-03 4.048348300136472323e-03
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.444132579808401928e+00 3.754946365175213657e-02 1.050499023331823850e-02 -1.050318041764411459e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.775201327043657962e+00 2.156269315350987578e-02 -2.989513962104868496e-03 -1.781984328852377272e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.051081867589044982e+00 1.091401218765396114e-01 4.941053240647477751e-02 -1.617204218865443688e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.301601066375334792e+00 1.197443608226034933e-01 5.968140627259076875e-02 -1.187119918433217694e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.441478371909962242e+01 5.986181230706309232e-03 4.689339766254014066e-03 -3.111751090993293578e-04
