### PARAMETERS OF THE TIME EVOLUTION ### 
Total time tau = 18
Timestep dt = 1
P = tau/dt = 18
Number of Fourier coefficients Nc = 18

gamma(t) = t/T*(delta_t + \sum_i^Nc gamma_i*f_i(wi, t) 
beta(t) = (1-t/T)*(delta_t + \sum_i^Nc beta_i*f_i(wi, t)

CRAB coefficient   Cz_start// Cx_start// Cxz_start // pulses//  Cz_opt // Cx_opt // Cxz_opt  
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.244901719204691126e+01 -5.835278621457879594e-02 -1.068844181850415152e-02 7.855326904127412843e-03
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.259636422261593225e+00 2.209982489955828555e+01 -6.710050186937268180e+00 2.678928580560518924e+01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.100751694072046050e+01 -3.608413826468631669e+01 -4.640475803489531259e+00 7.674113558795919054e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.506301069368432266e+01 1.726328423493384445e+00 4.000595864603010199e+00 -1.257888196175224849e+01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.920966164179911395e+00 -4.574817944146589710e+00 6.720120372403405540e+00 -1.926822503211024795e+01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.020133611202741264e+00 -3.380428418931455403e-01 -6.275384694429093912e-02 2.863431025532862106e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.120989199241336465e+01 7.760500137329840342e+00 8.916654490955966406e-01 -1.311686189517144552e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.092620472211631899e+01 2.810141918707855169e+01 -9.112499126190101717e-02 5.964554979639121512e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.023691285970327769e+01 -1.747545354892439562e+00 -2.049741152897724683e-01 3.028492890238642654e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.642648671553450956e+00 -7.490276564356655342e+01 1.902515924072294951e+01 -7.641393219380981350e+01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.606385001428325410e+01 -1.275319591761719723e-03 9.543934326554068303e-04 1.743863712263800129e-05
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.779560312924015619e+00 1.129883190304650009e+00 1.174879472628858612e-01 -2.776115515369254605e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.366368638364541033e-01 -3.432548407454125083e+01 9.383078359751220177e+00 -3.063138463068264628e+01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.375269478300466641e+00 -1.066967722224289972e+01 7.375041872775689455e+00 -2.373311261122852400e+01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.678270510352365186e+00 3.373802775940149545e-01 8.574444747420366386e-02 -1.977211009944224718e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.434297319561444795e+00 -1.001471250141336533e+00 -1.068718051027777172e-01 2.640364485118943949e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.734928608966307184e+00 1.149480658866853489e+01 -1.202636969575589099e+01 3.690477183203690004e+01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.300084732215719407e+00 8.414204008760466991e+01 -1.955206351497314188e+01 8.044237086480490007e+01

Amplitudes vs time: t // theta_tt_old // theta_mt_old // alpha_cdt_old// theta_tt_opt // theta_mt_opt// alpha_cdt_opt  
0.000000000000000000e+00 2.777777777777777624e-02 9.722222222222222099e-01 0.000000000000000000e+00 8.542871897186052332e-02 8.955570307346263359e-01 1.450868368237649975e-01
1.000000000000000000e+00 8.333333333333332871e-02 9.166666666666666297e-01 0.000000000000000000e+00 1.237112952560497497e-01 6.582743985541283926e-01 2.991970303275977017e-01
2.000000000000000000e+00 1.388888888888888951e-01 8.611111111111111605e-01 0.000000000000000000e+00 2.486446812005235207e-01 5.271485660131280948e-01 3.476140438374173414e-01
3.000000000000000000e+00 1.944444444444444475e-01 8.055555555555555802e-01 0.000000000000000000e+00 2.903207758813010075e-01 3.878611989670126547e-01 3.656723036002631488e-01
4.000000000000000000e+00 2.500000000000000000e-01 7.500000000000000000e-01 0.000000000000000000e+00 3.148139047953900094e-01 2.989618598354484291e-01 3.726999124739558411e-01
5.000000000000000000e+00 3.055555555555555802e-01 6.944444444444444198e-01 0.000000000000000000e+00 3.711885897012175972e-01 2.555062512852048773e-01 3.716870653883148634e-01
6.000000000000000000e+00 3.611111111111111049e-01 6.388888888888888395e-01 0.000000000000000000e+00 4.802831757696597870e-01 2.502176418496062649e-01 3.642378330387359142e-01
7.000000000000000000e+00 4.166666666666666852e-01 5.833333333333332593e-01 0.000000000000000000e+00 6.206602981030659993e-01 2.822216948849574081e-01 3.619501231572037625e-01
