### PARAMETERS OF THE TIME EVOLUTION ### 
Total time tau = 10
Timestep dt = 1
P = tau/dt = 10
Number of Fourier coefficients Nc = 10

gamma(t) = t/T*(delta_t + \sum_i^Nc gamma_i*f_i(wi, t) 
beta(t) = (1-t/T)*(delta_t + \sum_i^Nc beta_i*f_i(wi, t)

CRAB coefficient   Cz_start// Cx_start// Cxz_start // pulses//  Cz_opt // Cx_opt // Cxz_opt  
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.703294121272249662e+00 -3.019712699924913535e-01 -3.380090994314150521e+01 -1.456302618947885037e+02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.319368818750867423e+00 3.944781666267137332e+00 9.148286105111054667e+01 9.874228087874058701e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.394058949285919002e+00 1.039208489370103683e+00 6.117897825234157239e+01 -2.174093352049668937e+01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.068391858257992766e+00 1.727940009103051899e+00 1.446625470550806902e+01 4.392014652510973171e-04
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.817435518028159613e+00 -3.909646056606155273e+00 -6.648081247809662386e+01 -3.108291605965327609e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.617130748612241042e+00 -2.520350663496934374e+00 -2.296458175061502871e+01 -5.893617383086474648e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.601428354291630107e+00 -7.497106654226248779e-01 -5.091557403284039829e+00 4.157465349306191382e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.915505686000793517e+00 5.934423607778146481e-01 4.098581755497973766e+00 -3.084220480495194344e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.690506976056307842e+00 2.488667425833376967e+00 2.843446511712883762e+01 3.881095601274268114e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.643026771812972520e+00 -2.009359368371151700e+00 -6.677162251781469138e+01 1.600042217319032432e+02

Amplitudes vs time: t // theta_tt_old // theta_mt_old // alpha_cdt_old// theta_tt_opt // theta_mt_opt// alpha_cdt_opt  
0.000000000000000000e+00 5.000000000000000278e-02 9.499999999999999556e-01 0.000000000000000000e+00 -1.226405666677122253e-01 2.668206790613290025e-01 1.709012049332443439e-01
1.000000000000000000e+00 1.499999999999999944e-01 8.499999999999999778e-01 0.000000000000000000e+00 1.158373255121627476e-01 6.066290166005505746e-01 3.120463983210868264e-01
2.000000000000000000e+00 2.500000000000000000e-01 7.500000000000000000e-01 0.000000000000000000e+00 3.179196871953563486e-01 4.712981382674645836e-01 3.145776175617098769e-01
3.000000000000000000e+00 3.499999999999999778e-01 6.500000000000000222e-01 0.000000000000000000e+00 4.613897244998079183e-01 4.380283089103564897e-01 2.876172732212012306e-01
4.000000000000000000e+00 4.500000000000000111e-01 5.500000000000000444e-01 0.000000000000000000e+00 5.861223293366294440e-01 4.409448874697372567e-01 2.828119275971801017e-01
5.000000000000000000e+00 5.500000000000000444e-01 4.499999999999999556e-01 0.000000000000000000e+00 6.967332652569170337e-01 3.968050800574107750e-01 2.581468476182777749e-01
6.000000000000000000e+00 6.500000000000000222e-01 3.499999999999999778e-01 0.000000000000000000e+00 8.510325855231657410e-01 3.574002756696186278e-01 2.208354486696393337e-01
7.000000000000000000e+00 7.500000000000000000e-01 2.500000000000000000e-01 0.000000000000000000e+00 8.842797721541926226e-01 2.910876712481784701e-01 2.205548633764351507e-01
8.000000000000000000e+00 8.499999999999999778e-01 1.500000000000000222e-01 0.000000000000000000e+00 8.832378807170241375e-01 1.792293501944867695e-01 1.624648930387024848e-01
9.000000000000000000e+00 9.499999999999999556e-01 5.000000000000004441e-02 0.000000000000000000e+00 9.390903978889113546e-01 7.355000023120311647e-02 5.650308221612476700e-02

Residual energy after optimization is 0.01275043816963424 C0x=3.4434921568052683 C0z=1.1932336716364387 C0xz=1.0
Optimization procedure took 21.73812437057495 seconds
