### PARAMETERS OF THE TIME EVOLUTION ### 
Total time tau = 36
Timestep dt = 1
P = tau/dt = 36
Number of Fourier coefficients Nc = 36

gamma(t) = t/T*(delta_t + \sum_i^Nc gamma_i*f_i(wi, t) 
beta(t) = (1-t/T)*(delta_t + \sum_i^Nc beta_i*f_i(wi, t)

CRAB coefficient   Cz_start// Cx_start// Cxz_start // pulses//  Cz_opt // Cx_opt // Cxz_opt  
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.636176221276427700e+00 -4.409238259248694902e+01 3.211529281296052751e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.347658720302067792e+00 -5.050645960156809056e-02 1.753249666782017964e-03 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.128211406043856613e+00 -1.903122342901921371e+01 2.367263527147812407e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.346771208543161347e-01 -3.064382982485439655e+01 -8.370459289318347151e-01 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.636301711865268738e+00 -1.027459670126406044e+00 -1.693562578825019482e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.811959677410121650e+00 3.402054733053753921e+01 2.707151539635798798e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.063194554995215313e+00 -3.758539807817975031e+01 3.864624090655267574e-01 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.101615803701075258e+00 3.594612572366222736e+01 -3.533781035727576292e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.156869941349887299e+00 8.321364927854865812e+00 -6.794589385641223167e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.887648220613407091e+00 -4.845213949747653004e+01 6.517039146412582973e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.998505992105033968e+01 2.346400744531242089e-02 1.636719761690002065e-02 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.274142384449919341e+00 4.476178985354316353e+01 1.037607710547260975e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.291432467111761628e+00 -1.119393387533534145e+01 2.605218140363113832e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.447390561924397545e+01 -5.238752068601618683e-01 -1.875172068011208004e-01 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.173509177798628400e+00 3.728625314847489935e+00 -6.034974159965114104e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.152329573037236488e-01 -3.373754498441437732e+01 -2.314583895467917651e-01 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.388482569784924792e+00 -2.208739642244565715e+01 -1.403041493283299523e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.938802103653002096e+00 -4.314685596623904829e+00 4.435451293100602932e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.495631774093695909e-01 -3.193624506304409394e+01 -8.569439292440939049e-01 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.559197351216726091e+00 4.856782320928923014e+01 -7.860505268178915372e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.819222993829522794e-01 3.088132184537949598e+01 2.250689140056211457e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.467117915977711462e+00 -6.246295043637013578e+01 1.511476969222400690e+01 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.620179481634203000e+00 4.915932166569493944e+01 2.069756530171154019e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.668064474793551355e+00 2.189255380641556314e+01 -5.521739556291620055e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.803301072811850148e+00 1.520965525527571138e-01 -8.719540634300920745e-02 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.098097233147910856e+00 3.176420501420347264e+01 1.282131197277301515e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.277113033716261548e+01 -4.819154850838435616e-02 -2.997618359521321205e-02 0.000000000000000000e+00
